model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-4b,0:0,0.0,0.0,-10.4,1000.0,0,1000,1000,,-0.0104
gemma-3-27b,gemma-3-4b,1:1,0.0,0.0,-16.0,1000.0,0,1000,1000,,-0.016
gemma-3-27b,llama-3.3-70b,0:0,0.0,0.0,-1.1999999999999997,1000.0,0,1000,1000,,-0.0011999999999999997
gemma-3-27b,llama-3.3-70b,1:1,0.0,0.0,-9.2,1000.0,0,1000,1000,,-0.0092
gemma-3-27b,qwen-2.5-72b,0:0,0.0,0.0,-4.2,1000.0,0,1000,1000,,-0.004200000000000001
gemma-3-27b,qwen-2.5-72b,1:1,0.0,0.0,-7.7,1000.0,0,1000,1000,,-0.0077
gemma-3-4b,gemma-3-27b,0:0,0.0,0.0,-2.3,1000.0,0,1000,1000,,-0.0023
gemma-3-4b,gemma-3-27b,1:1,0.0,0.0,-26.3,1000.0,0,1000,1000,,-0.0263
llama-3.1-8b,llama-3.3-70b,0:0,0.0,0.0,-423.9,1000.0,0,1000,1000,,-0.4239
llama-3.1-8b,llama-3.3-70b,1:1,0.0,0.0,-200.7,1000.0,0,1000,1000,,-0.2007
llama-3.3-70b,gemma-3-27b,0:0,0.0,0.0,-18.4,1000.0,0,1000,1000,,-0.0184
llama-3.3-70b,gemma-3-27b,1:1,0.0,0.0,-42.4,1000.0,0,1000,1000,,-0.0424
llama-3.3-70b,llama-3.1-8b,0:0,0.0,0.0,-14.0,1000.0,0,1000,1000,,-0.014
llama-3.3-70b,llama-3.1-8b,1:1,0.0,0.0,-54.8,1000.0,0,1000,1000,,-0.054799999999999995
llama-3.3-70b,qwen-2.5-72b,0:0,0.0,0.0,-9.7,1000.0,0,1000,1000,,-0.009699999999999999
llama-3.3-70b,qwen-2.5-72b,1:1,0.0,0.0,-23.0,1000.0,0,1000,1000,,-0.023
qwen-2.5-72b,gemma-3-27b,0:0,0.0,0.0,-2.0,1000.0,0,1000,1000,,-0.002
qwen-2.5-72b,gemma-3-27b,1:1,0.0,0.0,-31.9,1000.0,0,1000,1000,,-0.0319
qwen-2.5-72b,llama-3.3-70b,0:0,0.0,0.0,-1.5,1000.0,0,1000,1000,,-0.0015
qwen-2.5-72b,llama-3.3-70b,1:1,0.0,0.0,-15.9,1000.0,0,1000,1000,,-0.0159
qwen-2.5-72b,qwen-2.5-7b,0:0,0.0,0.0,-2.2,1000.0,0,1000,1000,,-0.0022
qwen-2.5-72b,qwen-2.5-7b,1:1,0.0,0.0,-15.9,1000.0,0,1000,1000,,-0.0159
qwen-2.5-7b,qwen-2.5-72b,0:0,0.0,0.0,-4.4,1000.0,0,1000,1000,,-0.0044
qwen-2.5-7b,qwen-2.5-72b,1:1,0.0,0.0,-18.9,1000.0,0,1000,1000,,-0.0189
