model_receiver,model_sender,match_type_extended,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-4b,0:1,289.5,768.0,0.0,0.0,768,0,768,0.376953125,
gemma-3-27b,gemma-3-4b,0:B(yes),58.6,187.0,0.0,0.0,187,0,187,0.31336898395721924,
gemma-3-27b,gemma-3-4b,1:0,806.3,1587.0,0.0,0.0,1587,0,1587,0.5080655324511657,
gemma-3-27b,gemma-3-4b,1:B(no),138.5,288.0,0.0,0.0,288,0,288,0.4809027777777778,
gemma-3-27b,gemma-3-4b,B(no):1,20.3,33.7,-12.2,33.3,67,67,67,0.602373887240356,-0.3663663663663664
gemma-3-27b,gemma-3-4b,B(no):B(yes),3.5,8.7,-3.1,8.3,17,17,17,0.40229885057471265,-0.37349397590361444
gemma-3-27b,gemma-3-4b,B(yes):0,52.4,73.9,-12.5,82.1,156,156,156,0.7090663058186738,-0.15225334957369063
gemma-3-27b,gemma-3-4b,B(yes):B(no),6.0,8.3,-0.8999999999999999,8.7,17,17,17,0.7228915662650601,-0.10344827586206896
gemma-3-27b,llama-3.3-70b,0:1,343.9,480.0,0.0,0.0,480,0,480,0.7164583333333333,
gemma-3-27b,llama-3.3-70b,0:B(yes),66.4,114.0,0.0,0.0,114,0,114,0.5824561403508772,
gemma-3-27b,llama-3.3-70b,1:0,635.3,842.0,0.0,0.0,842,0,842,0.7545130641330166,
gemma-3-27b,llama-3.3-70b,1:B(no),134.3,188.0,0.0,0.0,188,0,188,0.7143617021276596,
gemma-3-27b,llama-3.3-70b,B(no):1,38.1,52.8,-6.9,47.2,100,100,100,0.7215909090909092,-0.1461864406779661
gemma-3-27b,llama-3.3-70b,B(no):B(yes),6.1,7.8999999999999995,-1.8,7.1000000000000005,15,15,15,0.7721518987341772,-0.2535211267605634
gemma-3-27b,llama-3.3-70b,B(yes):0,52.5,61.8,-6.1000000000000005,64.2,126,126,126,0.8495145631067962,-0.09501557632398755
gemma-3-27b,llama-3.3-70b,B(yes):B(no),4.8,7.1000000000000005,-0.7999999999999999,7.8999999999999995,15,15,15,0.6760563380281689,-0.10126582278481013
gemma-3-27b,qwen-2.5-72b,0:1,293.6,379.0,0.0,0.0,379,0,379,0.77467018469657,
gemma-3-27b,qwen-2.5-72b,0:B(yes),81.8,134.0,0.0,0.0,134,0,134,0.6104477611940299,
gemma-3-27b,qwen-2.5-72b,1:0,824.3,1001.0,0.0,0.0,1001,0,1001,0.8234765234765234,
gemma-3-27b,qwen-2.5-72b,1:B(no),199.1,285.0,0.0,0.0,285,0,285,0.6985964912280701,
gemma-3-27b,qwen-2.5-72b,B(no):1,28.6,36.5,-4.4,35.5,72,72,72,0.7835616438356164,-0.123943661971831
gemma-3-27b,qwen-2.5-72b,B(no):B(yes),9.8,13.0,-2.3,10.0,23,23,23,0.7538461538461539,-0.22999999999999998
gemma-3-27b,qwen-2.5-72b,B(yes):0,57.4,70.6,-5.2,75.4,146,146,146,0.8130311614730878,-0.06896551724137931
gemma-3-27b,qwen-2.5-72b,B(yes):B(no),9.4,10.0,-0.6000000000000001,13.0,23,23,23,0.9400000000000001,-0.04615384615384616
gemma-3-4b,gemma-3-27b,0:1,237.2,1587.0,0.0,0.0,1587,0,1587,0.14946439823566476,
gemma-3-4b,gemma-3-27b,0:B(yes),14.6,156.0,0.0,0.0,156,0,156,0.09358974358974359,
gemma-3-4b,gemma-3-27b,1:0,638.6,768.0,0.0,0.0,768,0,768,0.8315104166666667,
gemma-3-4b,gemma-3-27b,1:B(no),58.6,67.0,0.0,0.0,67,0,67,0.8746268656716418,
gemma-3-4b,gemma-3-27b,B(no):1,32.0,147.9,-92.3,140.1,288,288,288,0.21636240703177823,-0.6588151320485368
gemma-3-4b,gemma-3-27b,B(no):B(yes),0.30000000000000004,10.9,-5.5,6.1,17,17,17,0.027522935779816515,-0.9016393442622951
gemma-3-4b,gemma-3-27b,B(yes):0,83.9,90.5,-5.5,96.5,187,187,187,0.9270718232044199,-0.05699481865284974
gemma-3-4b,gemma-3-27b,B(yes):B(no),6.1,6.1,0.0,10.9,17,17,17,1.0,0.0
llama-3.1-8b,llama-3.3-70b,0:1,45.3,77.0,0.0,0.0,77,0,77,0.5883116883116882,
llama-3.1-8b,llama-3.3-70b,0:B(yes),6.1,13.0,0.0,0.0,13,0,13,0.46923076923076923,
llama-3.1-8b,llama-3.3-70b,1:0,711.9,1071.0,0.0,0.0,1071,0,1071,0.6647058823529411,
llama-3.1-8b,llama-3.3-70b,1:B(no),91.5,152.0,0.0,0.0,152,0,152,0.6019736842105263,
llama-3.1-8b,llama-3.3-70b,B(no):1,149.5,415.8,-177.20000000000002,710.2,1126,1126,1126,0.35954785954785956,-0.24950718107575331
llama-3.1-8b,llama-3.3-70b,B(no):B(yes),13.0,52.8,-27.1,93.2,146,146,146,0.24621212121212122,-0.2907725321888412
llama-3.1-8b,llama-3.3-70b,B(yes):0,878.5,1394.7,-97.80000000000001,1336.3,2731,2731,2731,0.6298845629884563,-0.07318715857217692
llama-3.1-8b,llama-3.3-70b,B(yes):B(no),57.7,93.2,-5.4,52.8,146,146,146,0.619098712446352,-0.10227272727272728
llama-3.3-70b,gemma-3-27b,0:1,430.1,842.0,0.0,0.0,842,0,842,0.5108076009501188,
llama-3.3-70b,gemma-3-27b,0:B(yes),46.4,126.0,0.0,0.0,126,0,126,0.3682539682539682,
llama-3.3-70b,gemma-3-27b,1:0,344.1,480.0,0.0,0.0,480,0,480,0.716875,
llama-3.3-70b,gemma-3-27b,1:B(no),76.7,100.0,0.0,0.0,100,0,100,0.767,
llama-3.3-70b,gemma-3-27b,B(no):1,51.3,90.5,-31.900000000000002,97.5,188,188,188,0.5668508287292817,-0.3271794871794872
llama-3.3-70b,gemma-3-27b,B(no):B(yes),3.2,7.7,-1.9000000000000001,7.3,15,15,15,0.4155844155844156,-0.26027397260273977
llama-3.3-70b,gemma-3-27b,B(yes):0,46.2,54.3,-5.1,59.7,114,114,114,0.850828729281768,-0.08542713567839195
llama-3.3-70b,gemma-3-27b,B(yes):B(no),4.9,7.3,-0.19999999999999996,7.7,15,15,15,0.6712328767123288,-0.02597402597402597
llama-3.3-70b,llama-3.1-8b,0:1,243.6,1071.0,0.0,0.0,1071,0,1071,0.22745098039215686,
llama-3.3-70b,llama-3.1-8b,0:B(yes),414.4,2731.0,0.0,0.0,2731,0,2731,0.15173928963749542,
llama-3.3-70b,llama-3.1-8b,1:0,36.4,77.0,0.0,0.0,77,0,77,0.4727272727272727,
llama-3.3-70b,llama-3.1-8b,1:B(no),594.7,1126.0,0.0,0.0,1126,0,1126,0.5281527531083482,
llama-3.3-70b,llama-3.1-8b,B(no):1,24.6,74.0,-33.300000000000004,78.0,152,152,152,0.3324324324324325,-0.42692307692307696
llama-3.3-70b,llama-3.1-8b,B(no):B(yes),20.6,73.2,-36.1,72.8,146,146,146,0.28142076502732244,-0.4958791208791209
llama-3.3-70b,llama-3.1-8b,B(yes):0,3.1999999999999997,5.5,-2.7,7.5,13,13,13,0.5818181818181818,-0.36000000000000004
llama-3.3-70b,llama-3.1-8b,B(yes):B(no),49.8,72.8,-12.700000000000001,73.2,146,146,146,0.6840659340659341,-0.17349726775956284
llama-3.3-70b,qwen-2.5-72b,0:1,291.6,465.0,0.0,0.0,465,0,465,0.6270967741935485,
llama-3.3-70b,qwen-2.5-72b,0:B(yes),79.3,167.0,0.0,0.0,167,0,167,0.4748502994011976,
llama-3.3-70b,qwen-2.5-72b,1:0,558.8,715.0,0.0,0.0,715,0,715,0.7815384615384615,
llama-3.3-70b,qwen-2.5-72b,1:B(no),157.9,242.0,0.0,0.0,242,0,242,0.6524793388429753,
llama-3.3-70b,qwen-2.5-72b,B(no):1,32.2,56.0,-17.0,57.0,113,113,113,0.5750000000000001,-0.2982456140350877
llama-3.3-70b,qwen-2.5-72b,B(no):B(yes),7.1,13.7,-6.3,16.3,30,30,30,0.5182481751824818,-0.38650306748466257
llama-3.3-70b,qwen-2.5-72b,B(yes):0,72.8,85.8,-8.1,88.2,174,174,174,0.8484848484848485,-0.09183673469387754
llama-3.3-70b,qwen-2.5-72b,B(yes):B(no),13.9,16.3,-2.3000000000000003,13.7,30,30,30,0.852760736196319,-0.16788321167883213
qwen-2.5-72b,gemma-3-27b,0:1,107.1,1001.0,0.0,0.0,1001,0,1001,0.10699300699300698,
qwen-2.5-72b,gemma-3-27b,0:B(yes),16.8,146.0,0.0,0.0,146,0,146,0.11506849315068493,
qwen-2.5-72b,gemma-3-27b,1:0,223.0,379.0,0.0,0.0,379,0,379,0.5883905013192612,
qwen-2.5-72b,gemma-3-27b,1:B(no),45.6,72.0,0.0,0.0,72,0,72,0.6333333333333333,
qwen-2.5-72b,gemma-3-27b,B(no):1,25.7,132.1,-96.6,152.9,285,285,285,0.19454958364875094,-0.631785480706344
qwen-2.5-72b,gemma-3-27b,B(no):B(yes),0.6,10.1,-11.9,12.9,23,23,23,0.0594059405940594,-0.9224806201550387
qwen-2.5-72b,gemma-3-27b,B(yes):0,48.9,63.0,-8.6,71.0,134,134,134,0.7761904761904762,-0.12112676056338027
qwen-2.5-72b,gemma-3-27b,B(yes):B(no),11.2,12.9,0.0,10.1,23,23,23,0.8682170542635658,0.0
qwen-2.5-72b,llama-3.3-70b,0:1,55.0,715.0,0.0,0.0,715,0,715,0.07692307692307693,
qwen-2.5-72b,llama-3.3-70b,0:B(yes),6.8999999999999995,174.0,0.0,0.0,174,0,174,0.0396551724137931,
qwen-2.5-72b,llama-3.3-70b,1:0,215.4,465.0,0.0,0.0,465,0,465,0.46322580645161293,
qwen-2.5-72b,llama-3.3-70b,1:B(no),56.6,113.0,0.0,0.0,113,0,113,0.5008849557522124,
qwen-2.5-72b,llama-3.3-70b,B(no):1,15.9,113.5,-101.1,128.5,242,242,242,0.14008810572687225,-0.7867704280155642
qwen-2.5-72b,llama-3.3-70b,B(no):B(yes),0.2,16.2,-12.9,13.8,30,30,30,0.01234567901234568,-0.9347826086956521
qwen-2.5-72b,llama-3.3-70b,B(yes):0,56.8,84.7,-17.8,82.3,167,167,167,0.6706021251475797,-0.21628189550425275
qwen-2.5-72b,llama-3.3-70b,B(yes):B(no),9.9,13.8,-2.8000000000000003,16.2,30,30,30,0.717391304347826,-0.17283950617283952
qwen-2.5-72b,qwen-2.5-7b,0:1,9.9,168.0,0.0,0.0,168,0,168,0.05892857142857143,
qwen-2.5-72b,qwen-2.5-7b,0:B(yes),3.7,75.0,0.0,0.0,75,0,75,0.04933333333333333,
qwen-2.5-72b,qwen-2.5-7b,1:0,579.3,1830.0,0.0,0.0,1830,0,1830,0.3165573770491803,
qwen-2.5-72b,qwen-2.5-7b,1:B(no),53.4,203.0,0.0,0.0,203,0,203,0.2630541871921182,
qwen-2.5-72b,qwen-2.5-7b,B(no):1,2.8,26.2,-22.8,26.8,53,53,53,0.10687022900763359,-0.8507462686567164
qwen-2.5-72b,qwen-2.5-7b,B(no):B(yes),0.0,7.4,-8.0,8.6,16,16,16,0.0,-0.9302325581395349
qwen-2.5-72b,qwen-2.5-7b,B(yes):0,98.2,192.9,-52.8,179.1,372,372,372,0.5090720580611716,-0.2948073701842546
