model_receiver,model_sender,macro_pos_delta_realisation,macro_neg_delta_realisation,count
gemma-3-27b,gemma-3-4b,,-0.0132,2
gemma-3-27b,llama-3.3-70b,,-0.0052,2
gemma-3-27b,qwen-2.5-72b,,-0.00595,2
gemma-3-4b,gemma-3-27b,,-0.0143,2
llama-3.1-8b,llama-3.3-70b,,-0.3123,2
llama-3.3-70b,gemma-3-27b,,-0.0304,2
llama-3.3-70b,llama-3.1-8b,,-0.0344,2
llama-3.3-70b,qwen-2.5-72b,,-0.01635,2
qwen-2.5-72b,gemma-3-27b,,-0.01695,2
qwen-2.5-72b,llama-3.3-70b,,-0.008700000000000001,2
qwen-2.5-72b,qwen-2.5-7b,,-0.00905,2
qwen-2.5-7b,qwen-2.5-72b,,-0.01165,2
