model_receiver,model_sender,macro_pos_delta_realisation,macro_neg_delta_realisation,count
gemma-3-27b,gemma-3-4b,0.507079163093851,-0.2513046111957053,7
gemma-3-27b,llama-3.3-70b,0.7236516255441797,-0.13817845011176233,7
gemma-3-27b,qwen-2.5-72b,0.7626523392285071,-0.10633204524498314,7
gemma-3-4b,gemma-3-27b,0.4955851775193156,-0.3464464541553642,7
llama-3.1-8b,llama-3.3-70b,0.542557288854958,-0.18176569312465254,7
llama-3.3-70b,gemma-3-27b,0.617230875316448,-0.18420220761929307,7
llama-3.3-70b,llama-3.1-8b,0.39664467013397214,-0.3737232174218476,7
llama-3.3-70b,qwen-2.5-72b,0.6656356746372902,-0.22558300513187732,7
qwen-2.5-72b,gemma-3-27b,0.4182241246994833,-0.4234345152058501,7
qwen-2.5-72b,llama-3.3-70b,0.31829227272597344,-0.5087952189510502,7
qwen-2.5-72b,qwen-2.5-7b,0.2353665365817155,-0.5672678796136571,7
qwen-2.5-7b,qwen-2.5-72b,0.5500491477054045,-0.2884549907079709,7
