model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gemma-3-27b,gemma-3-27b,B:B,183.5,241.0,-30.900000000000002,241.0,482,482,482,0.7614107883817427,-0.1282157676348548
gemma-3-27b,gemma-3-4b,0:1,289.5,768.0,0.0,0.0,768,0,768,0.376953125,
gemma-3-27b,gemma-3-4b,0:B,58.6,187.0,0.0,0.0,187,0,187,0.31336898395721924,
gemma-3-27b,gemma-3-4b,1:0,806.3,1587.0,0.0,0.0,1587,0,1587,0.5080655324511657,
gemma-3-27b,gemma-3-4b,1:B,138.5,288.0,0.0,0.0,288,0,288,0.4809027777777778,
gemma-3-27b,gemma-3-4b,B:0,52.4,73.9,-12.5,82.1,156,156,156,0.7090663058186738,-0.15225334957369063
gemma-3-27b,gemma-3-4b,B:1,20.3,33.7,-12.2,33.3,67,67,67,0.602373887240356,-0.3663663663663664
gemma-3-27b,gemma-3-4b,B:B,9.5,17.0,-4.0,17.0,34,34,34,0.5588235294117647,-0.23529411764705882
gemma-3-27b,gpt-oss-20b,0:1,70.5,75.0,0.0,0.0,75,0,75,0.94,
gemma-3-27b,gpt-oss-20b,0:B,776.3,1026.0,0.0,0.0,1026,0,1026,0.7566276803118908,
gemma-3-27b,gpt-oss-20b,1:0,549.8,600.0,0.0,0.0,600,0,600,0.9163333333333332,
gemma-3-27b,gpt-oss-20b,1:B,1568.7,2162.0,0.0,0.0,2162,0,2162,0.7255781683626272,
gemma-3-27b,gpt-oss-20b,B:0,43.3,46.1,-1.2000000000000002,52.9,99,99,99,0.9392624728850324,-0.022684310018903597
gemma-3-27b,gpt-oss-20b,B:1,11.4,12.1,0.0,7.9,20,20,20,0.9421487603305786,0.0
gemma-3-27b,gpt-oss-20b,B:B,101.2,122.0,-12.0,122.0,244,244,244,0.8295081967213115,-0.09836065573770492
gemma-3-27b,llama-3.3-70b,0:1,343.9,480.0,0.0,0.0,480,0,480,0.7164583333333333,
gemma-3-27b,llama-3.3-70b,0:B,66.4,114.0,0.0,0.0,114,0,114,0.5824561403508772,
gemma-3-27b,llama-3.3-70b,1:0,635.3,842.0,0.0,0.0,842,0,842,0.7545130641330166,
gemma-3-27b,llama-3.3-70b,1:B,134.3,188.0,0.0,0.0,188,0,188,0.7143617021276596,
gemma-3-27b,llama-3.3-70b,B:0,52.5,61.8,-6.1000000000000005,64.2,126,126,126,0.8495145631067962,-0.09501557632398755
gemma-3-27b,llama-3.3-70b,B:1,38.1,52.8,-6.9,47.2,100,100,100,0.7215909090909092,-0.1461864406779661
gemma-3-27b,llama-3.3-70b,B:B,10.9,15.0,-2.6,15.0,30,30,30,0.7266666666666667,-0.17333333333333334
gemma-3-27b,qwen-2.5-72b,0:1,293.6,379.0,0.0,0.0,379,0,379,0.77467018469657,
gemma-3-27b,qwen-2.5-72b,0:B,81.8,134.0,0.0,0.0,134,0,134,0.6104477611940299,
gemma-3-27b,qwen-2.5-72b,1:0,824.3,1001.0,0.0,0.0,1001,0,1001,0.8234765234765234,
gemma-3-27b,qwen-2.5-72b,1:B,199.1,285.0,0.0,0.0,285,0,285,0.6985964912280701,
gemma-3-27b,qwen-2.5-72b,B:0,57.4,70.6,-5.2,75.4,146,146,146,0.8130311614730878,-0.06896551724137931
gemma-3-27b,qwen-2.5-72b,B:1,28.6,36.5,-4.4,35.5,72,72,72,0.7835616438356164,-0.123943661971831
gemma-3-27b,qwen-2.5-72b,B:B,19.2,23.0,-2.9000000000000004,23.0,46,46,46,0.8347826086956521,-0.12608695652173915
gemma-3-4b,gemma-3-27b,0:1,237.2,1587.0,0.0,0.0,1587,0,1587,0.14946439823566476,
gemma-3-4b,gemma-3-27b,0:B,14.6,156.0,0.0,0.0,156,0,156,0.09358974358974359,
gemma-3-4b,gemma-3-27b,1:0,638.6,768.0,0.0,0.0,768,0,768,0.8315104166666667,
gemma-3-4b,gemma-3-27b,1:B,58.6,67.0,0.0,0.0,67,0,67,0.8746268656716418,
gemma-3-4b,gemma-3-27b,B:0,83.9,90.5,-5.5,96.5,187,187,187,0.9270718232044199,-0.05699481865284974
gemma-3-4b,gemma-3-27b,B:1,32.0,147.9,-92.3,140.1,288,288,288,0.21636240703177823,-0.6588151320485368
gemma-3-4b,gemma-3-27b,B:B,6.4,17.0,-5.5,17.0,34,34,34,0.3764705882352941,-0.3235294117647059
gemma-3-4b,gemma-3-4b,B:B,197.2,492.0,-235.0,492.0,984,984,984,0.4008130081300813,-0.47764227642276424
gpt-oss-20b,gemma-3-27b,0:1,111.9,600.0,0.0,0.0,600,0,600,0.1865,
gpt-oss-20b,gemma-3-27b,0:B,13.600000000000001,99.0,0.0,0.0,99,0,99,0.1373737373737374,
gpt-oss-20b,gemma-3-27b,1:0,27.6,75.0,0.0,0.0,75,0,75,0.368,
gpt-oss-20b,gemma-3-27b,1:B,11.2,20.0,0.0,0.0,20,0,20,0.5599999999999999,
gpt-oss-20b,gemma-3-27b,B:0,252.5,353.8,-19.5,672.2,1026,1026,1026,0.71368004522329,-0.029009223445403153
gpt-oss-20b,gemma-3-27b,B:1,495.0,993.2,-71.9,1168.8,2162,2162,2162,0.49838904550946433,-0.061516084873374406
gpt-oss-20b,gemma-3-27b,B:B,61.8,122.0,-8.700000000000001,122.0,244,244,244,0.5065573770491804,-0.07131147540983608
gpt-oss-20b,gpt-oss-20b,B:B,1903.1,3310.0,-134.5,3310.0,6620,6620,6620,0.5749546827794562,-0.04063444108761329
gpt-oss-20b,llama-3.3-70b,0:1,73.1,415.0,0.0,0.0,415,0,415,0.176144578313253,
gpt-oss-20b,llama-3.3-70b,0:B,12.200000000000001,111.0,0.0,0.0,111,0,111,0.10990990990990993,
gpt-oss-20b,llama-3.3-70b,1:0,35.8,97.0,0.0,0.0,97,0,97,0.3690721649484536,
gpt-oss-20b,llama-3.3-70b,1:B,9.200000000000001,22.0,0.0,0.0,22,0,22,0.4181818181818182,
gpt-oss-20b,llama-3.3-70b,B:0,264.8,430.9,-28.0,779.1,1210,1210,1210,0.6145277326525876,-0.03593890386343217
gpt-oss-20b,llama-3.3-70b,B:1,391.2,855.1,-63.0,1058.9,1914,1914,1914,0.45749035200561333,-0.0594957030881103
gpt-oss-20b,llama-3.3-70b,B:B,82.5,184.0,-14.3,184.0,368,368,368,0.4483695652173913,-0.07771739130434784
gpt-oss-20b,qwen-2.5-72b,0:1,65.4,245.0,0.0,0.0,245,0,245,0.2669387755102041,
gpt-oss-20b,qwen-2.5-72b,0:B,24.5,123.0,0.0,0.0,123,0,123,0.1991869918699187,
gpt-oss-20b,qwen-2.5-72b,1:0,40.3,76.0,0.0,0.0,76,0,76,0.5302631578947368,
gpt-oss-20b,qwen-2.5-72b,1:B,23.1,47.0,0.0,0.0,47,0,47,0.4914893617021277,
gpt-oss-20b,qwen-2.5-72b,B:0,330.2,443.59999999999997,-14.200000000000001,883.4,1327,1327,1327,0.7443642921550947,-0.01607425854652479
gpt-oss-20b,qwen-2.5-72b,B:1,411.4,707.9,-41.1,1002.1,1710,1710,1710,0.5811555304421528,-0.04101387087117054
gpt-oss-20b,qwen-2.5-72b,B:B,147.2,272.0,-18.7,272.0,544,544,544,0.5411764705882353,-0.06874999999999999
llama-3.1-8b,llama-3.1-8b,B:B,1984.8,4007.0,-792.0,4007.0,8014,8014,8014,0.4953331669578238,-0.19765410531569752
llama-3.1-8b,llama-3.3-70b,0:1,45.3,77.0,0.0,0.0,77,0,77,0.5883116883116882,
llama-3.1-8b,llama-3.3-70b,0:B,6.1,13.0,0.0,0.0,13,0,13,0.46923076923076923,
llama-3.1-8b,llama-3.3-70b,1:0,711.9,1071.0,0.0,0.0,1071,0,1071,0.6647058823529411,
llama-3.1-8b,llama-3.3-70b,1:B,91.5,152.0,0.0,0.0,152,0,152,0.6019736842105263,
llama-3.1-8b,llama-3.3-70b,B:0,878.5,1394.7,-97.80000000000001,1336.3,2731,2731,2731,0.6298845629884563,-0.07318715857217692
llama-3.1-8b,llama-3.3-70b,B:1,149.5,415.8,-177.20000000000002,710.2,1126,1126,1126,0.35954785954785956,-0.24950718107575331
llama-3.1-8b,llama-3.3-70b,B:B,70.7,146.0,-32.5,146.0,292,292,292,0.4842465753424658,-0.2226027397260274
llama-3.3-70b,gemma-3-27b,0:1,430.1,842.0,0.0,0.0,842,0,842,0.5108076009501188,
llama-3.3-70b,gemma-3-27b,0:B,46.4,126.0,0.0,0.0,126,0,126,0.3682539682539682,
llama-3.3-70b,gemma-3-27b,1:0,344.1,480.0,0.0,0.0,480,0,480,0.716875,
llama-3.3-70b,gemma-3-27b,1:B,76.7,100.0,0.0,0.0,100,0,100,0.767,
llama-3.3-70b,gemma-3-27b,B:0,46.2,54.3,-5.1,59.7,114,114,114,0.850828729281768,-0.08542713567839195
llama-3.3-70b,gemma-3-27b,B:1,51.3,90.5,-31.900000000000002,97.5,188,188,188,0.5668508287292817,-0.3271794871794872
llama-3.3-70b,gemma-3-27b,B:B,8.1,15.0,-2.1,15.0,30,30,30,0.5399999999999999,-0.14
llama-3.3-70b,gpt-oss-20b,0:1,82.7,97.0,0.0,0.0,97,0,97,0.852577319587629,
llama-3.3-70b,gpt-oss-20b,0:B,718.6,1210.0,0.0,0.0,1210,0,1210,0.5938842975206612,
llama-3.3-70b,gpt-oss-20b,1:0,356.0,415.0,0.0,0.0,415,0,415,0.8578313253012049,
llama-3.3-70b,gpt-oss-20b,1:B,1277.1,1914.0,0.0,0.0,1914,0,1914,0.6672413793103448,
llama-3.3-70b,gpt-oss-20b,B:0,48.5,54.8,-2.3000000000000003,56.2,111,111,111,0.885036496350365,-0.04092526690391459
llama-3.3-70b,gpt-oss-20b,B:1,7.8,9.9,-0.7000000000000001,12.1,22,22,22,0.7878787878787878,-0.057851239669421496
llama-3.3-70b,gpt-oss-20b,B:B,133.2,184.0,-32.3,184.0,368,368,368,0.7239130434782608,-0.17554347826086955
llama-3.3-70b,llama-3.1-8b,0:1,243.6,1071.0,0.0,0.0,1071,0,1071,0.22745098039215686,
llama-3.3-70b,llama-3.1-8b,0:B,414.4,2731.0,0.0,0.0,2731,0,2731,0.15173928963749542,
llama-3.3-70b,llama-3.1-8b,1:0,36.4,77.0,0.0,0.0,77,0,77,0.4727272727272727,
llama-3.3-70b,llama-3.1-8b,1:B,594.7,1126.0,0.0,0.0,1126,0,1126,0.5281527531083482,
llama-3.3-70b,llama-3.1-8b,B:0,3.1999999999999997,5.5,-2.7,7.5,13,13,13,0.5818181818181818,-0.36000000000000004
llama-3.3-70b,llama-3.1-8b,B:1,24.6,74.0,-33.300000000000004,78.0,152,152,152,0.3324324324324325,-0.42692307692307696
llama-3.3-70b,llama-3.1-8b,B:B,70.4,146.0,-48.800000000000004,146.0,292,292,292,0.4821917808219178,-0.33424657534246577
llama-3.3-70b,llama-3.3-70b,B:B,170.9,317.0,-110.60000000000001,317.0,634,634,634,0.5391167192429023,-0.3488958990536278
llama-3.3-70b,qwen-2.5-72b,0:1,291.6,465.0,0.0,0.0,465,0,465,0.6270967741935485,
llama-3.3-70b,qwen-2.5-72b,0:B,79.3,167.0,0.0,0.0,167,0,167,0.4748502994011976,
llama-3.3-70b,qwen-2.5-72b,1:0,558.8,715.0,0.0,0.0,715,0,715,0.7815384615384615,
llama-3.3-70b,qwen-2.5-72b,1:B,157.9,242.0,0.0,0.0,242,0,242,0.6524793388429753,
llama-3.3-70b,qwen-2.5-72b,B:0,72.8,85.8,-8.1,88.2,174,174,174,0.8484848484848485,-0.09183673469387754
llama-3.3-70b,qwen-2.5-72b,B:1,32.2,56.0,-17.0,57.0,113,113,113,0.5750000000000001,-0.2982456140350877
llama-3.3-70b,qwen-2.5-72b,B:B,21.0,30.0,-8.6,30.0,60,60,60,0.7,-0.2866666666666667
qwen-2.5-72b,gemma-3-27b,0:1,107.1,1001.0,0.0,0.0,1001,0,1001,0.10699300699300698,
qwen-2.5-72b,gemma-3-27b,0:B,16.8,146.0,0.0,0.0,146,0,146,0.11506849315068493,
qwen-2.5-72b,gemma-3-27b,1:0,223.0,379.0,0.0,0.0,379,0,379,0.5883905013192612,
qwen-2.5-72b,gemma-3-27b,1:B,45.6,72.0,0.0,0.0,72,0,72,0.6333333333333333,
qwen-2.5-72b,gemma-3-27b,B:0,48.9,63.0,-8.6,71.0,134,134,134,0.7761904761904762,-0.12112676056338027
qwen-2.5-72b,gemma-3-27b,B:1,25.7,132.1,-96.6,152.9,285,285,285,0.19454958364875094,-0.631785480706344
qwen-2.5-72b,gemma-3-27b,B:B,11.8,23.0,-11.9,23.0,46,46,46,0.5130434782608696,-0.5173913043478261
qwen-2.5-72b,gpt-oss-20b,0:1,28.7,76.0,0.0,0.0,76,0,76,0.37763157894736843,
qwen-2.5-72b,gpt-oss-20b,0:B,212.3,1327.0,0.0,0.0,1327,0,1327,0.15998492840994727,
qwen-2.5-72b,gpt-oss-20b,1:0,197.8,245.0,0.0,0.0,245,0,245,0.8073469387755102,
qwen-2.5-72b,gpt-oss-20b,1:B,935.9,1710.0,0.0,0.0,1710,0,1710,0.5473099415204679,
qwen-2.5-72b,gpt-oss-20b,B:0,57.7,63.1,-1.6999999999999997,59.9,123,123,123,0.9144215530903328,-0.028380634390651083
