model_receiver,model_sender,macro_pos_delta_realisation,macro_neg_delta_realisation,count
gemma-3-27b,gemma-3-4b,,-0.0007,2
gemma-3-27b,gpt-oss-20b,,0.0,2
gemma-3-27b,llama-3.3-70b,,-9.999999999999998e-05,2
gemma-3-27b,qwen-2.5-72b,,0.0,2
gemma-3-4b,gemma-3-27b,,-0.00355,2
gemma-3-4b,gemma-3-4b,,-0.01505,2
llama-3.1-8b,llama-3.1-8b,,-0.3421075757575757,2
llama-3.1-8b,llama-3.3-70b,,-0.42382615176151756,2
llama-3.3-70b,gemma-3-27b,,-0.020499999999999997,2
llama-3.3-70b,gpt-oss-20b,,-0.008700000000000001,2
llama-3.3-70b,llama-3.1-8b,,-0.02498509485094851,2
llama-3.3-70b,qwen-2.5-72b,,-0.0225,2
qwen-2.5-72b,gemma-3-27b,,-0.00014999999999999996,2
qwen-2.5-72b,gpt-oss-20b,,0.0,2
qwen-2.5-72b,llama-3.3-70b,,-0.0006499999999999999,2
qwen-2.5-72b,qwen-2.5-7b,,-0.00014999999999999996,2
qwen-2.5-7b,qwen-2.5-72b,,-0.0005499999999999999,2
qwen-2.5-7b,qwen-2.5-7b,,-0.0007999999999999999,2
