model_receiver,model_sender,macro_pos_delta_realisation,macro_neg_delta_realisation,count
gemma-3-27b,gemma-3-4b,0.8049188430426304,-0.026106715177123454,7
gemma-3-27b,gpt-oss-20b,0.8915681067013942,-0.005178480973560662,7
gemma-3-27b,llama-3.3-70b,0.8159221947998316,-0.03955664337602811,7
gemma-3-27b,qwen-2.5-72b,0.8826151833252608,-0.016741989276465356,7
gemma-3-4b,gemma-3-27b,0.9028255526477879,-0.0072225156347607905,7
gemma-3-4b,gemma-3-4b,0.8973377703826955,-0.04259567387687188,1
llama-3.1-8b,llama-3.1-8b,0.25884285714285715,-0.27994285714285716,1
llama-3.1-8b,llama-3.3-70b,0.41320413832610553,-0.39591958964119806,7
llama-3.3-70b,gemma-3-27b,0.6419222592823035,-0.17232586636107314,7
llama-3.3-70b,gpt-oss-20b,0.5813914864183907,-0.19396192147072389,7
llama-3.3-70b,llama-3.1-8b,0.47022693547623046,-0.26194749703682735,7
llama-3.3-70b,qwen-2.5-72b,0.5320046127831016,-0.2728953040271294,7
qwen-2.5-72b,gemma-3-27b,0.5318559751286168,-0.132208074268684,7
qwen-2.5-72b,gpt-oss-20b,0.5250988897118595,-0.09762119776511653,7
qwen-2.5-72b,llama-3.3-70b,0.1271802143050907,-0.5755374170059732,7
qwen-2.5-72b,qwen-2.5-7b,0.16412559363543747,-0.47448269700046625,7
qwen-2.5-7b,qwen-2.5-72b,0.48552697702194336,-0.26685468366208936,7
qwen-2.5-7b,qwen-2.5-7b,0.42297520661157023,-0.3287603305785124,1
