model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
llama-3.3-70b,qwen-2.5-72b,0:1,3731.5,7000.0,0.0,0.0,7000,0,7000,0.5330714285714285,
llama-3.3-70b,qwen-2.5-72b,0:B,1331.9,3266.0,0.0,0.0,3266,0,3266,0.40780771586037967,
llama-3.3-70b,qwen-2.5-72b,1:0,525.1,2404.0,0.0,0.0,2404,0,2404,0.21842762063227955,
llama-3.3-70b,qwen-2.5-72b,1:B,442.3,2471.0,0.0,0.0,2471,0,2471,0.17899635774989883,
llama-3.3-70b,qwen-2.5-72b,B:0,331.9,802.3,-374.5,935.7,1738,1738,1738,0.4136856537454817,-0.400235118093406
llama-3.3-70b,qwen-2.5-72b,B:1,2816.7,3342.8,-290.5,3657.2,7000,7000,7000,0.8426169678114155,-0.07943235261949032
llama-3.3-70b,qwen-2.5-72b,B:B,707.5,1203.0,-355.2,1203.0,2406,2406,2406,0.5881130507065669,-0.29526184538653366
qwen-2.5-72b,llama-3.3-70b,0:1,1140.4,2404.0,0.0,0.0,2404,0,2404,0.4743760399334443,
qwen-2.5-72b,llama-3.3-70b,0:B,660.9,1738.0,0.0,0.0,1738,0,1738,0.3802646720368239,
qwen-2.5-72b,llama-3.3-70b,1:0,2421.8,7000.0,0.0,0.0,7000,0,7000,0.3459714285714286,
qwen-2.5-72b,llama-3.3-70b,1:B,1632.9,7000.0,0.0,0.0,7000,0,7000,0.23327142857142857,
qwen-2.5-72b,llama-3.3-70b,B:0,1280.5,1681.8,-121.3,1584.2,3266,3266,3266,0.7613866095849685,-0.0765686150738543
qwen-2.5-72b,llama-3.3-70b,B:1,857.8,1120.1,-126.1,1350.9,2471,2471,2471,0.7658244799571468,-0.09334517728921458
qwen-2.5-72b,llama-3.3-70b,B:B,862.3,1203.0,-116.8,1203.0,2406,2406,2406,0.7167913549459684,-0.0970906068162926
