model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
llama-3.3-70b,qwen-2.5-72b,0:1,5176.9,7000.0,0.0,0.0,7000,0,7000,0.7395571428571428,
llama-3.3-70b,qwen-2.5-72b,0:B,2223.6,3266.0,0.0,0.0,3266,0,3266,0.6808328230251072,
llama-3.3-70b,qwen-2.5-72b,1:0,584.5,2404.0,0.0,0.0,2404,0,2404,0.24313643926788686,
llama-3.3-70b,qwen-2.5-72b,1:B,412.3,2471.0,0.0,0.0,2471,0,2471,0.1668555240793201,
llama-3.3-70b,qwen-2.5-72b,B:0,330.2,802.3,-341.0,935.7,1738,1738,1738,0.4115667456063817,-0.3644330447793096
llama-3.3-70b,qwen-2.5-72b,B:1,2928.6,3342.8,-154.9,3657.2,7000,7000,7000,0.8760918990068206,-0.042354806956141314
llama-3.3-70b,qwen-2.5-72b,B:B,715.1,1203.0,-328.1,1203.0,2406,2406,2406,0.5944305901911887,-0.27273482959268497
qwen-2.5-72b,llama-3.3-70b,0:1,2188.1,2404.0,0.0,0.0,2404,0,2404,0.9101913477537438,
qwen-2.5-72b,llama-3.3-70b,0:B,1518.0,1738.0,0.0,0.0,1738,0,1738,0.8734177215189873,
qwen-2.5-72b,llama-3.3-70b,1:0,3262.4,7000.0,0.0,0.0,7000,0,7000,0.4660571428571429,
qwen-2.5-72b,llama-3.3-70b,1:B,2484.3,7000.0,0.0,0.0,7000,0,7000,0.35490000000000005,
qwen-2.5-72b,llama-3.3-70b,B:0,1467.4,1681.8,-74.8,1584.2,3266,3266,3266,0.8725175407301702,-0.04721626057315995
qwen-2.5-72b,llama-3.3-70b,B:1,1085.2,1120.1,-13.0,1350.9,2471,2471,2471,0.9688420676725293,-0.009623214153527277
qwen-2.5-72b,llama-3.3-70b,B:B,1075.4,1203.0,-47.4,1203.0,2406,2406,2406,0.8939318370739818,-0.03940149625935162
