model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
gpt-oss-20b,gemma-3-27b,0:1,1308.0,7000.0,0.0,0.0,7000,0,7000,0.18685714285714286,
gpt-oss-20b,gemma-3-27b,0:B,162.1,1857.0,0.0,0.0,1857,0,1857,0.08729133010231556,
gpt-oss-20b,gemma-3-27b,1:0,3.2,18.0,0.0,0.0,18,0,18,0.17777777777777778,
gpt-oss-20b,gemma-3-27b,1:B,1.7,15.0,0.0,0.0,15,0,15,0.11333333333333333,
gpt-oss-20b,gemma-3-27b,B:0,87.89999999999999,447.9,-363.40000000000003,1363.1000000000001,1811,1811,1811,0.19624916275954454,-0.26659819529014744
gpt-oss-20b,gemma-3-27b,B:1,1316.7,3472.3,-374.3,3527.7,7000,7000,7000,0.37920110589522793,-0.10610312668310798
gpt-oss-20b,gemma-3-27b,B:B,178.5,950.0,-270.3,950.0,1900,1900,1900,0.18789473684210525,-0.2845263157894737
gpt-oss-20b,llama-3.3-70b,0:1,573.1,7000.0,0.0,0.0,7000,0,7000,0.08187142857142858,
gpt-oss-20b,llama-3.3-70b,0:B,233.20000000000002,3742.0,0.0,0.0,3742,0,3742,0.06231961517904864,
gpt-oss-20b,llama-3.3-70b,1:0,13.700000000000001,267.0,0.0,0.0,267,0,267,0.05131086142322098,
gpt-oss-20b,llama-3.3-70b,1:B,16.7,345.0,0.0,0.0,345,0,345,0.04840579710144927,
gpt-oss-20b,llama-3.3-70b,B:0,131.6,2100.1,-2307.2000000000003,4899.9,7000,7000,7000,0.06266368268177706,-0.47086675238270176
gpt-oss-20b,llama-3.3-70b,B:1,618.8,3258.8,-909.7,3741.2,7000,7000,7000,0.18988584755124582,-0.24315727574040416
gpt-oss-20b,llama-3.3-70b,B:B,583.8,6216.0,-2899.2000000000003,6216.0,12432,12432,12432,0.09391891891891892,-0.46640926640926644
gpt-oss-20b,qwen-2.5-72b,0:1,1049.7,7000.0,0.0,0.0,7000,0,7000,0.14995714285714287,
gpt-oss-20b,qwen-2.5-72b,0:B,325.9,3305.0,0.0,0.0,3305,0,3305,0.09860816944024205,
gpt-oss-20b,qwen-2.5-72b,1:0,5.2,81.0,0.0,0.0,81,0,81,0.06419753086419754,
gpt-oss-20b,qwen-2.5-72b,1:B,8.0,110.0,0.0,0.0,110,0,110,0.07272727272727272,
gpt-oss-20b,qwen-2.5-72b,B:0,162.0,1400.0,-1311.4,3728.0,5128,5128,5128,0.11571428571428571,-0.35177038626609447
gpt-oss-20b,qwen-2.5-72b,B:1,1050.5,3401.3,-532.8000000000001,3598.7,7000,7000,7000,0.3088524975744568,-0.14805346375079892
gpt-oss-20b,qwen-2.5-72b,B:B,570.9,3525.0,-1258.7,3525.0,7050,7050,7050,0.16195744680851062,-0.35707801418439716
