model_receiver,model_sender,match_type,total_positive_delta,total_positive_budget,total_negative_delta,total_negative_budget,possible_positive_count,possible_negative_count,count,positive_delta_realisation,negative_delta_realisation
llama-3.3-70b,qwen-2.5-72b-high-temp,0:1,2478.6,3094.0,0.0,0.0,3094,0,3094,0.801098901098901,
llama-3.3-70b,qwen-2.5-72b-high-temp,0:B,1414.8,1926.0,0.0,0.0,1926,0,1926,0.7345794392523364,
llama-3.3-70b,qwen-2.5-72b-high-temp,1:0,144.5,716.0,0.0,0.0,716,0,716,0.20181564245810055,
llama-3.3-70b,qwen-2.5-72b-high-temp,1:B,255.8,1492.0,0.0,0.0,1492,0,1492,0.17144772117962467,
llama-3.3-70b,qwen-2.5-72b-high-temp,B:0,63.8,231.0,-135.4,284.0,515,515,515,0.27619047619047615,-0.4767605633802817
llama-3.3-70b,qwen-2.5-72b-high-temp,B:1,1115.9,1224.4,-34.7,1324.6,2549,2549,2549,0.9113851682456714,-0.02619658764910162
llama-3.3-70b,qwen-2.5-72b-high-temp,B:B,406.4,688.0,-217.8,688.0,1376,1376,1376,0.5906976744186047,-0.3165697674418605
llama-3.3-70b,qwen-2.5-72b-low-temp,0:1,3087.3,3944.0,0.0,0.0,3944,0,3944,0.7827839756592293,
llama-3.3-70b,qwen-2.5-72b-low-temp,0:B,274.5,374.0,0.0,0.0,374,0,374,0.733957219251337,
llama-3.3-70b,qwen-2.5-72b-low-temp,1:0,217.2,1079.0,0.0,0.0,1079,0,1079,0.20129749768303984,
llama-3.3-70b,qwen-2.5-72b-low-temp,1:B,46.7,260.0,0.0,0.0,260,0,260,0.17961538461538462,
llama-3.3-70b,qwen-2.5-72b-low-temp,B:0,89.5,330.7,-210.4,402.3,733,733,733,0.27063804052010887,-0.5229927914491673
llama-3.3-70b,qwen-2.5-72b-low-temp,B:1,1288.2,1404.7,-53.4,1493.3,2898,2898,2898,0.917064141809639,-0.035759726779615614
llama-3.3-70b,qwen-2.5-72b-low-temp,B:B,72.4,124.0,-38.3,124.0,248,248,248,0.5838709677419355,-0.30887096774193545
qwen-2.5-72b,llama-3.3-70b-high-temp,0:1,80.1,699.0,0.0,0.0,699,0,699,0.11459227467811157,
qwen-2.5-72b,llama-3.3-70b-high-temp,0:B,74.6,1153.0,0.0,0.0,1153,0,1153,0.06470078057241976,
qwen-2.5-72b,llama-3.3-70b-high-temp,1:0,333.5,2540.0,0.0,0.0,2540,0,2540,0.1312992125984252,
qwen-2.5-72b,llama-3.3-70b-high-temp,1:B,379.2,5057.0,0.0,0.0,5057,0,5057,0.07498516907257267,
qwen-2.5-72b,llama-3.3-70b-high-temp,B:0,116.6,524.3,-228.1,483.7,1008,1008,1008,0.22239176044249476,-0.4715732892288609
qwen-2.5-72b,llama-3.3-70b-high-temp,B:1,46.800000000000004,340.0,-261.3,429.0,769,769,769,0.13764705882352943,-0.6090909090909091
qwen-2.5-72b,llama-3.3-70b-high-temp,B:B,101.2,787.0,-490.8,787.0,1574,1574,1574,0.12858958068614995,-0.6236340533672173
qwen-2.5-72b,llama-3.3-70b-low-temp,0:1,98.3,1012.0,0.0,0.0,1012,0,1012,0.09713438735177865,
qwen-2.5-72b,llama-3.3-70b-low-temp,0:B,11.8,188.0,0.0,0.0,188,0,188,0.06276595744680852,
qwen-2.5-72b,llama-3.3-70b-low-temp,1:0,521.3,4357.0,0.0,0.0,4357,0,4357,0.11964654578838649,
qwen-2.5-72b,llama-3.3-70b-low-temp,1:B,51.6,796.0,0.0,0.0,796,0,796,0.06482412060301508,
qwen-2.5-72b,llama-3.3-70b-low-temp,B:0,155.9,716.1,-336.8,664.9,1381,1381,1381,0.21770702415863707,-0.506542337193563
qwen-2.5-72b,llama-3.3-70b-low-temp,B:1,67.8,479.2,-377.3,589.8,1069,1069,1069,0.14148580968280466,-0.6397083757205834
qwen-2.5-72b,llama-3.3-70b-low-temp,B:B,19.7,114.0,-65.9,114.0,228,228,228,0.17280701754385963,-0.5780701754385965
