model_receiver,model_sender,macro_pos_delta_realisation,macro_neg_delta_realisation,count
gemma-3-27b,gemma-3-27b,0.9628935532233883,-0.016191904047976012,2668
gemma-3-27b,gemma-3-4b,0.8133705235177066,-0.03175481190453725,9784
gemma-3-27b,gpt-oss-20b,0.8791093082042823,-0.022875338916485733,17050
gemma-3-27b,llama-3.3-70b,0.8259580990575396,-0.04213333457333773,7758
gemma-3-27b,qwen-2.5-72b,0.8986993438889439,-0.020579081999195656,6749
gemma-3-4b,gemma-3-27b,0.7739663023502723,-0.07296388531957526,9784
gemma-3-4b,gemma-3-4b,0.6309346567411083,-0.2186104218362283,2418
gpt-oss-20b,gemma-3-27b,0.7112595224053538,-0.007147934081722862,17050
gpt-oss-20b,gpt-oss-20b,0.7943428571428571,-0.005714285714285714,14000
gpt-oss-20b,llama-3.3-70b,0.5851868236003378,-0.017571313510287675,15582
gpt-oss-20b,qwen-2.5-72b,0.6634309519440532,-0.009500097303442381,17447
llama-3.1-8b,llama-3.1-8b,0.2917142857142857,-0.2759857142857143,14000
llama-3.1-8b,llama-3.3-70b,0.25878069380633806,-0.344789976773616,12360
llama-3.3-70b,gemma-3-27b,0.7899482286297023,-0.059589329406602574,7758
llama-3.3-70b,gpt-oss-20b,0.6247905524325663,-0.1292847066777181,15582
llama-3.3-70b,llama-3.1-8b,0.4835606838025065,-0.22046914848086563,12360
llama-3.3-70b,llama-3.3-70b,0.5591666666666667,-0.2765151515151515,2640
llama-3.3-70b,qwen-2.5-72b,0.7063081181218417,-0.10546556306509365,8080
qwen-2.5-72b,gemma-3-27b,0.5469168877445878,-0.17403194022131696,6749
qwen-2.5-72b,gpt-oss-20b,0.5030776232532478,-0.13702957571086347,17447
qwen-2.5-72b,llama-3.3-70b,0.31727347495344477,-0.3875764548840149,8080
qwen-2.5-72b,qwen-2.5-72b,0.54282131661442,-0.26545454545454544,3190
qwen-2.5-72b,qwen-2.5-7b,0.29759211095383964,-0.3809146747722148,8160
qwen-2.5-7b,qwen-2.5-72b,0.5478974396795576,-0.20748420917835317,8160
qwen-2.5-7b,qwen-2.5-7b,0.4668020893789901,-0.28653511317469527,3446
