,model_receiver,model_sender,match_type,influence,count
0,gemma-3-27b,gemma-3-4b,B:0,-0.9689922480620154,32
1,gemma-3-27b,gemma-3-4b,B:1,-1.4022988505747127,25
2,gemma-3-27b,gemma-3-4b,B:B,-0.8333333333333334,10
3,gemma-3-27b,llama-3.3-70b,B:0,-1.7941176470588238,13
4,gemma-3-27b,llama-3.3-70b,B:1,-0.7113402061855671,20
5,gemma-3-27b,llama-3.3-70b,B:B,-1.1304347826086958,6
6,gemma-3-27b,qwen-2.5-72b,B:0,-0.8125,14
7,gemma-3-27b,qwen-2.5-72b,B:1,-1.3333333333333335,9
8,gemma-3-27b,qwen-2.5-72b,B:B,-1.4500000000000002,6
9,gemma-3-4b,gemma-3-27b,B:0,-1.375,12
10,gemma-3-4b,gemma-3-27b,B:1,-1.009846827133479,198
11,gemma-3-4b,gemma-3-27b,B:B,-0.5978260869565218,15
12,llama-3.1-8b,llama-3.3-70b,B:0,-0.8431034482758621,396
13,llama-3.1-8b,llama-3.3-70b,B:1,-1.328335832083958,500
14,llama-3.1-8b,llama-3.3-70b,B:B,-1.097972972972973,99
15,llama-3.3-70b,gemma-3-27b,B:0,-1.8214285714285714,9
16,llama-3.3-70b,gemma-3-27b,B:1,-1.1192982456140352,69
17,llama-3.3-70b,gemma-3-27b,B:B,-0.6363636363636365,7
18,llama-3.3-70b,llama-3.1-8b,B:0,-1.8,5
19,llama-3.3-70b,llama-3.1-8b,B:1,-1.0571428571428574,79
20,llama-3.3-70b,llama-3.1-8b,B:B,-0.8399311531841653,123
21,llama-3.3-70b,qwen-2.5-72b,B:0,-1.3728813559322033,17
22,llama-3.3-70b,qwen-2.5-72b,B:1,-0.8947368421052632,40
23,llama-3.3-70b,qwen-2.5-72b,B:B,-1.2285714285714284,17
24,qwen-2.5-72b,gemma-3-27b,B:0,-0.9347826086956522,23
25,qwen-2.5-72b,gemma-3-27b,B:1,-1.0189873417721518,205
26,qwen-2.5-72b,gemma-3-27b,B:B,-1.2526315789473685,22
27,qwen-2.5-72b,llama-3.3-70b,B:0,-0.8436018957345971,44
28,qwen-2.5-72b,llama-3.3-70b,B:1,-1.1233333333333333,198
29,qwen-2.5-72b,llama-3.3-70b,B:B,-0.8820224719101123,36
30,qwen-2.5-72b,qwen-2.5-7b,B:0,-0.8123076923076923,132
31,qwen-2.5-72b,qwen-2.5-7b,B:1,-1.0506912442396314,45
32,qwen-2.5-72b,qwen-2.5-7b,B:B,-1.0348837209302326,18
33,qwen-2.5-7b,qwen-2.5-72b,B:0,-2.0833333333333335,9
34,qwen-2.5-7b,qwen-2.5-72b,B:1,-0.9230769230769231,120
35,qwen-2.5-7b,qwen-2.5-72b,B:B,-0.7450980392156863,10
36,gemma-3-27b,gemma-3-4b,all,-1.0682081439900204,67
37,gemma-3-27b,llama-3.3-70b,all,-1.211964211951029,39
38,gemma-3-27b,qwen-2.5-72b,all,-1.1986111111111113,29
39,gemma-3-4b,gemma-3-27b,all,-0.994224304696667,225
40,llama-3.1-8b,llama-3.3-70b,all,-1.0898040844442642,995
41,llama-3.3-70b,gemma-3-27b,all,-1.1923634844687478,85
42,llama-3.3-70b,llama-3.1-8b,all,-1.232358003442341,207
43,llama-3.3-70b,qwen-2.5-72b,all,-1.1653965422029648,74
44,qwen-2.5-72b,gemma-3-27b,all,-1.0688005098050575,250
45,qwen-2.5-72b,llama-3.3-70b,all,-0.9496525669926809,278
46,qwen-2.5-72b,qwen-2.5-7b,all,-0.965960885825852,195
47,qwen-2.5-7b,qwen-2.5-72b,all,-1.2505027652086476,139
