,model_receiver,model_sender,match_type,influence,count
0,gemma-3-27b,gemma-3-4b,B:0,-1.6666666666666667,19
1,gemma-3-27b,gemma-3-4b,B:1,-1.084848484848485,56
2,gemma-3-27b,gemma-3-4b,B:B,-0.9,4
3,gemma-3-27b,gpt-oss-20b,B:0,-0.9459459459459459,15
4,gemma-3-27b,gpt-oss-20b,B:B,-1.2065217391304348,35
5,gemma-3-27b,llama-3.3-70b,B:0,-1.0790441176470589,165
6,gemma-3-27b,llama-3.3-70b,B:1,-0.6086956521739131,11
7,gemma-3-27b,llama-3.3-70b,B:B,-0.9191919191919191,56
8,gemma-3-27b,qwen-2.5-72b,B:0,-1.5895522388059702,56
9,gemma-3-27b,qwen-2.5-72b,B:1,-1.666666666666667,4
10,gemma-3-27b,qwen-2.5-72b,B:B,-1.3389830508474578,21
11,gemma-3-4b,gemma-3-27b,B:0,-1.3703703703703705,10
12,gemma-3-4b,gemma-3-27b,B:1,-0.5000000000000006,1
13,gemma-3-4b,gemma-3-27b,B:B,-0.2857142857142857,1
14,llama-3.1-8b,llama-3.3-70b,B:0,-0.5179752066115703,6781
15,llama-3.1-8b,llama-3.3-70b,B:1,-1.264044943820225,117
16,llama-3.1-8b,llama-3.3-70b,B:B,-0.3753086419753086,2397
17,llama-3.3-70b,gemma-3-27b,B:0,-1.134567901234568,207
18,llama-3.3-70b,gemma-3-27b,B:1,-1.0103359173126616,115
19,llama-3.3-70b,gemma-3-27b,B:B,-0.9876712328767122,172
20,llama-3.3-70b,gpt-oss-20b,B:0,-0.9356086776288517,1702
21,llama-3.3-70b,gpt-oss-20b,B:1,-0.3749999999999999,4
22,llama-3.3-70b,gpt-oss-20b,B:B,-0.8493792599805258,3558
23,llama-3.3-70b,llama-3.1-8b,B:0,-0.6521739130434783,4
24,llama-3.3-70b,llama-3.1-8b,B:1,-1.000999000999001,318
25,llama-3.3-70b,llama-3.1-8b,B:B,-0.9913032020028989,1678
26,llama-3.3-70b,qwen-2.5-72b,B:0,-1.0877110694183865,987
27,llama-3.3-70b,qwen-2.5-72b,B:1,-1.0419651995905834,285
28,llama-3.3-70b,qwen-2.5-72b,B:B,-0.9825677919203101,799
29,qwen-2.5-72b,gemma-3-27b,B:0,-0.8191881918819187,73
30,qwen-2.5-72b,gemma-3-27b,B:1,-0.9105058365758754,1398
31,qwen-2.5-72b,gemma-3-27b,B:B,-0.7806236080178174,201
32,qwen-2.5-72b,gpt-oss-20b,B:0,-0.7387218045112782,394
33,qwen-2.5-72b,gpt-oss-20b,B:1,-0.9534883720930232,11
34,qwen-2.5-72b,gpt-oss-20b,B:B,-0.8087482550023266,1547
35,qwen-2.5-72b,llama-3.3-70b,B:0,-0.8239320013246495,1908
36,qwen-2.5-72b,llama-3.3-70b,B:1,-1.0812666921022511,1823
37,qwen-2.5-72b,llama-3.3-70b,B:B,-0.9095519864750634,1742
38,qwen-2.5-72b,qwen-2.5-7b,B:0,-0.7478632478632478,48
39,qwen-2.5-72b,qwen-2.5-7b,B:1,-0.9518770605126023,4382
40,qwen-2.5-72b,qwen-2.5-7b,B:B,-0.9529780564263323,70
41,qwen-2.5-7b,qwen-2.5-72b,B:0,-0.9243697478991597,245
42,qwen-2.5-7b,qwen-2.5-72b,B:1,-0.9056603773584906,14
43,qwen-2.5-7b,qwen-2.5-72b,B:B,-0.9299363057324841,35
44,gemma-3-27b,gemma-3-4b,all,-1.2171717171717173,79
45,gemma-3-27b,gpt-oss-20b,all,-1.0762338425381903,50
46,gemma-3-27b,llama-3.3-70b,all,-0.8689772296709637,232
47,gemma-3-27b,qwen-2.5-72b,all,-1.5317339854400316,81
48,gemma-3-4b,gemma-3-27b,all,-0.7186948853615522,12
49,llama-3.1-8b,llama-3.3-70b,all,-0.7191095974690347,9295
50,llama-3.3-70b,gemma-3-27b,all,-1.0441916838079806,494
51,llama-3.3-70b,gpt-oss-20b,all,-0.7199959792031257,5264
52,llama-3.3-70b,llama-3.1-8b,all,-0.8814920386817927,2000
53,llama-3.3-70b,qwen-2.5-72b,all,-1.0374146869764267,2071
54,qwen-2.5-72b,gemma-3-27b,all,-0.8367725454918705,1672
55,qwen-2.5-72b,gpt-oss-20b,all,-0.8336528105355426,1952
56,qwen-2.5-72b,llama-3.3-70b,all,-0.938250226633988,5473
57,qwen-2.5-72b,qwen-2.5-7b,all,-0.8842394549340608,4500
58,qwen-2.5-7b,qwen-2.5-72b,all,-0.9199888103300449,294
