,model_receiver,model_sender,match_type,influence,count
0,gemma-3-27b,gemma-3-4b,0:1,0.8970151688142228,6131
1,gemma-3-27b,gemma-3-4b,0:B,0.8374695863746958,411
2,gemma-3-27b,gemma-3-4b,1:0,0.591018564977421,1993
3,gemma-3-27b,gemma-3-4b,1:B,0.5654978962131837,713
4,gemma-3-27b,gemma-3-4b,B:0,0.9061509194673432,286
5,gemma-3-27b,gemma-3-4b,B:1,0.9604214854793112,2383
6,gemma-3-27b,gemma-3-4b,B:B,0.9272727272727274,152
7,gemma-3-27b,gpt-oss-20b,0:1,0.9722222222222222,18
8,gemma-3-27b,gpt-oss-20b,0:B,0.9750966316951961,1811
9,gemma-3-27b,gpt-oss-20b,1:0,0.8323142857142857,7000
10,gemma-3-27b,gpt-oss-20b,1:B,0.5409142857142857,7000
11,gemma-3-27b,gpt-oss-20b,B:0,0.9735309687665431,1842
12,gemma-3-27b,gpt-oss-20b,B:1,0.987012987012987,15
13,gemma-3-27b,gpt-oss-20b,B:B,0.9731079931972789,1865
14,gemma-3-27b,llama-3.3-70b,0:1,0.9427553444180522,421
15,gemma-3-27b,llama-3.3-70b,0:B,0.9227099236641222,524
16,gemma-3-27b,llama-3.3-70b,1:0,0.6403571428571428,7000
17,gemma-3-27b,llama-3.3-70b,1:B,0.5091142857142857,7000
18,gemma-3-27b,llama-3.3-70b,B:0,0.9015760040671074,1871
19,gemma-3-27b,llama-3.3-70b,B:1,0.9785553047404064,387
20,gemma-3-27b,llama-3.3-70b,B:B,0.9361759913090711,720
21,gemma-3-27b,qwen-2.5-72b,0:1,0.9772929652715939,1123
22,gemma-3-27b,qwen-2.5-72b,0:B,0.9536715620827769,749
23,gemma-3-27b,qwen-2.5-72b,1:0,0.7576285714285714,7000
24,gemma-3-27b,qwen-2.5-72b,1:B,0.6548387096774193,5797
25,gemma-3-27b,qwen-2.5-72b,B:0,0.934678566808951,1491
26,gemma-3-27b,qwen-2.5-72b,B:1,0.9837708830548926,877
27,gemma-3-27b,qwen-2.5-72b,B:B,0.9479515588765781,767
28,gemma-3-4b,gemma-3-27b,0:1,0.9879578524836929,1993
29,gemma-3-4b,gemma-3-27b,0:B,0.9665573770491803,305
30,gemma-3-4b,gemma-3-27b,1:0,0.7614744739846682,6131
31,gemma-3-4b,gemma-3-27b,1:B,0.6968019680196802,2439
32,gemma-3-4b,gemma-3-27b,B:0,0.9570552147239264,401
33,gemma-3-4b,gemma-3-27b,B:1,0.9946188340807175,712
34,gemma-3-4b,gemma-3-27b,B:B,0.9767141009055628,155
35,llama-3.1-8b,llama-3.3-70b,0:1,0.845,20
36,llama-3.1-8b,llama-3.3-70b,0:B,0.8571428571428571,7
37,llama-3.1-8b,llama-3.3-70b,1:0,0.0030571428571428572,7000
38,llama-3.1-8b,llama-3.3-70b,1:B,0.0014428571428571429,7000
39,llama-3.1-8b,llama-3.3-70b,B:0,0.07394766780432309,219
40,llama-3.1-8b,llama-3.3-70b,B:1,0.9440237076061904,6209
41,llama-3.1-8b,llama-3.3-70b,B:B,0.8812778603268946,2351
42,llama-3.3-70b,gemma-3-27b,0:1,0.8685999999999999,7000
43,llama-3.3-70b,gemma-3-27b,0:B,0.7901768172888015,2036
44,llama-3.3-70b,gemma-3-27b,1:0,0.3254156769596199,421
45,llama-3.3-70b,gemma-3-27b,1:B,0.3542713567839196,398
46,llama-3.3-70b,gemma-3-27b,B:0,0.7185897435897436,317
47,llama-3.3-70b,gemma-3-27b,B:1,0.972878854950568,6885
48,llama-3.3-70b,gemma-3-27b,B:B,0.8869841269841269,604
49,llama-3.3-70b,gpt-oss-20b,0:1,0.898876404494382,267
50,llama-3.3-70b,gpt-oss-20b,0:B,0.8576285714285714,7000
51,llama-3.3-70b,gpt-oss-20b,1:0,0.25129999999999997,7000
52,llama-3.3-70b,gpt-oss-20b,1:B,0.10651428571428571,7000
53,llama-3.3-70b,gpt-oss-20b,B:0,0.6164767589075782,2040
54,llama-3.3-70b,gpt-oss-20b,B:1,0.9833641404805914,341
55,llama-3.3-70b,gpt-oss-20b,B:B,0.8278953813855844,8874
56,llama-3.3-70b,llama-3.1-8b,0:1,0.6717714285714286,7000
57,llama-3.3-70b,llama-3.1-8b,0:B,0.5854571428571428,7000
58,llama-3.3-70b,llama-3.1-8b,1:0,0.15,20
59,llama-3.3-70b,llama-3.1-8b,1:B,0.09187480240278217,6326
60,llama-3.3-70b,llama-3.1-8b,B:0,0.9230769230769231,3
61,llama-3.3-70b,llama-3.1-8b,B:1,0.9145278376818637,6682
62,llama-3.3-70b,llama-3.1-8b,B:B,0.8401956535199059,3070
63,llama-3.3-70b,qwen-2.5-72b,0:1,0.8026142857142857,7000
64,llama-3.3-70b,qwen-2.5-72b,0:B,0.7308328230251072,3266
65,llama-3.3-70b,qwen-2.5-72b,1:0,0.2038685524126456,2404
66,llama-3.3-70b,qwen-2.5-72b,1:B,0.17053824362606232,2471
67,llama-3.3-70b,qwen-2.5-72b,B:0,0.6536312849162011,751
68,llama-3.3-70b,qwen-2.5-72b,B:1,0.9432374965332347,6715
69,llama-3.3-70b,qwen-2.5-72b,B:B,0.8494534220532319,1607
70,qwen-2.5-72b,gemma-3-27b,0:1,0.3999285714285714,7000
71,qwen-2.5-72b,gemma-3-27b,0:B,0.2572721396250808,1547
72,qwen-2.5-72b,gemma-3-27b,1:0,0.5954585930543188,1123
73,qwen-2.5-72b,gemma-3-27b,1:B,0.555505107832009,881
74,qwen-2.5-72b,gemma-3-27b,B:0,0.8226827864133565,676
75,qwen-2.5-72b,gemma-3-27b,B:1,0.7097931034482758,4399
76,qwen-2.5-72b,gemma-3-27b,B:B,0.755095332018409,587
77,qwen-2.5-72b,gpt-oss-20b,0:1,0.625925925925926,81
78,qwen-2.5-72b,gpt-oss-20b,0:B,0.4296801872074883,5128
79,qwen-2.5-72b,gpt-oss-20b,1:0,0.3937857142857143,7000
80,qwen-2.5-72b,gpt-oss-20b,1:B,0.1401,7000
81,qwen-2.5-72b,gpt-oss-20b,B:0,0.774291042376696,2911
82,qwen-2.5-72b,gpt-oss-20b,B:1,0.8619246861924688,99
83,qwen-2.5-72b,gpt-oss-20b,B:B,0.7259660452036246,5503
84,qwen-2.5-72b,llama-3.3-70b,0:1,0.10212146422628952,2404
85,qwen-2.5-72b,llama-3.3-70b,0:B,0.0688722669735328,1738
86,qwen-2.5-72b,llama-3.3-70b,1:0,0.13018571428571427,7000
87,qwen-2.5-72b,llama-3.3-70b,1:B,0.0754,7000
88,qwen-2.5-72b,llama-3.3-70b,B:0,0.49529578553937365,1358
89,qwen-2.5-72b,llama-3.3-70b,B:1,0.4763331336129419,648
90,qwen-2.5-72b,llama-3.3-70b,B:B,0.45958922379301154,664
91,qwen-2.5-72b,qwen-2.5-7b,0:1,0.10751428571428572,7000
92,qwen-2.5-72b,qwen-2.5-7b,0:B,0.05096774193548387,465
93,qwen-2.5-72b,qwen-2.5-7b,1:0,0.18046875,128
94,qwen-2.5-72b,qwen-2.5-7b,1:B,0.14823529411764705,85
95,qwen-2.5-72b,qwen-2.5-7b,B:0,0.528688524590164,47
96,qwen-2.5-72b,qwen-2.5-7b,B:1,0.4457069756941831,2408
97,qwen-2.5-72b,qwen-2.5-7b,B:B,0.4935064935064935,40
98,qwen-2.5-7b,qwen-2.5-72b,0:1,0.7515625,128
99,qwen-2.5-7b,qwen-2.5-72b,0:B,0.771578947368421,95
100,qwen-2.5-7b,qwen-2.5-72b,1:0,0.19204285714285713,7000
101,qwen-2.5-7b,qwen-2.5-72b,1:B,0.11160530191458026,6790
102,qwen-2.5-7b,qwen-2.5-72b,B:0,0.5222405271828665,220
103,qwen-2.5-7b,qwen-2.5-72b,B:1,0.8831168831168831,71
104,qwen-2.5-7b,qwen-2.5-72b,B:B,0.7251908396946566,75
105,gemma-3-27b,gemma-3-4b,all,0.8121209069427007,12069
106,gemma-3-27b,gpt-oss-20b,all,0.8934570534746855,19551
107,gemma-3-27b,llama-3.3-70b,all,0.8330348566814554,17923
108,gemma-3-27b,qwen-2.5-72b,all,0.8871189738858262,17804
109,gemma-3-4b,gemma-3-27b,all,0.9058828316067755,12136
110,llama-3.1-8b,llama-3.3-70b,all,0.5151274418400379,22806
111,llama-3.3-70b,gemma-3-27b,all,0.7024166537938257,17661
112,llama-3.3-70b,gpt-oss-20b,all,0.6488650774872847,32522
113,llama-3.3-70b,llama-3.1-8b,all,0.596700541158578,30101
114,llama-3.3-70b,qwen-2.5-72b,all,0.6220251583258242,24214
115,qwen-2.5-72b,gemma-3-27b,all,0.5851050905457174,16213
116,qwen-2.5-72b,gpt-oss-20b,all,0.564524800170274,27722
117,qwen-2.5-72b,llama-3.3-70b,all,0.2582567983472662,20812
118,qwen-2.5-72b,qwen-2.5-7b,all,0.27929829507975107,10173
119,qwen-2.5-7b,qwen-2.5-72b,all,0.5653339794886092,14379
